Country,Code,Population,GDP per capita,"Homicide by firearm rate per 100,000",Rank by rate of ownership,Average firearms per 100 people,Average total all civilian firearms,% of homicides by firearm,Number of homicides by firearm,"Homicides per 100,000",Total number of homicides
Austria,AUT,8473786,46604,0.22,14,30.4,2500000,29.5,18,0.9,77
Canada,CAN,35158304,52283,0.51,13,30.8,9950000,32,173,1.6,543
France,FRA,66028467,39617,0.06,12,31.2,19000000,9.6,35,1,665
Norway,NOR,5084190,100056,0.05,11,31.3,1400000,8.1,2,2.2,111
Sweden,SWE,9592552,55072,0.41,10,31.6,2800000,33.9,37,0.7,68
Uruguay,URY,3407062,14703,2.8,9,31.8,1100000,46.5,93,7.9,267
United Kingdom,GBR,64097085,39367,0.14,80,33.6,4060000,11.1,46,1,653
Iraq,IRQ,33417476,4557,,8,34.2,9750000,,,8,2628
Saudi Arabia,SAU,28828870,25136,,7,35,6000000,,,0.8,234
Cyprus,CYP,1141166,26462,0.46,6,36.4,275000,26.3,5,2,23
Serbia,SRB,7163976,5315,0.46,5,37.8,3050000,33.1,45,1.2,111
Finland,FIN,5439407,45741,0.45,4,45.3,2400000,19.8,24,1.6,89
Switzerland,CHE,8081482,78924,0.77,3,45.7,3400000,72.2,57,0.6,46
Yemen,YEM,24407381,1376,,2,54.8,11500000,,,4.8,1099
United States,USA,316128839,51163,2.97,1,88.8,270000000,60,9146,4.7,14827
Afghanistan,AFG,30551674,683,,,,,,,6.5,1948
Anguilla,AIA,15094,20048,7.14,,,,24,1,7.5,1
Bermuda,BMU,65024,85762,0,,,,0,0,7.7,5
Grenada,GRD,105897,7418,0,,,,0,0,13.3,14
Greenland,GRL,56483,41266,,,,,,,19.4,11
Hong Kong,HKG,7187500,36827,0,,,,0,0,0.4,27
Saint Kitts and Nevis,KNA,54191,14267,32.44,,,,85,17,33.6,18
Liechtenstein,LIE,36925,158977,2.82,,,,100,1,0,0
Monaco,MCO,37831,151878,0,,,,0,0,0,0
New Caledonia,NCL,262000,38869,,,,,,,3.3,8
Puerto Rico,PRI,3615086,28021,18.3,,,,94.8,692,26.5,978
Palestinian Territories,PSE,4169506,2431,,,,,,,7.4,312
South Sudan,SSD,11296173,928,,,,,,,13.9,1504
Saint Vincent and the Grenadines,VCT,109373,6349,5.49,,,,30,6,25.6,28
Vanuatu,VUT,252763,3040,,,,,,,2.9,7
